ResultID,Status,Score,Match_addr,Addr_type,AddNum,AddNumFrom,AddNumTo,Side,StPreDir,StPreType,StName,StType,StDir,StAddr,City,Subregion,Region,Postal,Country,LangCode,Distance,X,Y
36,M,100.0,"180 Canner St, New Haven, Connecticut, 06511",StreetAddress,180,170,194,L,,,Canner,St,,180 Canner St,New Haven,New Haven,Connecticut,06511,USA,ENG,0,-72.914145,41.32397
35,M,100.0,"375 Quinnipiac Ave, New Haven, Connecticut, 06513",StreetAddress,375,343,503,R,,,Quinnipiac,Ave,,375 Quinnipiac Ave,New Haven,New Haven,Connecticut,06513,USA,ENG,0,-72.889942,41.300894
41,M,100.0,"150 Fournier St, New Haven, Connecticut, 06511",StreetAddress,150,148,198,L,,,Fournier,St,,150 Fournier St,New Haven,New Haven,Connecticut,06511,USA,ENG,0,-72.939189,41.332741
39,M,100.0,"569 Congress Ave, New Haven, Connecticut, 06519",StreetAddress,569,585,543,L,,,Congress,Ave,,569 Congress Ave,New Haven,New Haven,Connecticut,06519,USA,ENG,0,-72.938229,41.300541
43,M,100.0,"191 Fountain St, New Haven, Connecticut, 06515",StreetAddress,191,171,199,R,,,Fountain,St,,191 Fountain St,New Haven,New Haven,Connecticut,06515,USA,ENG,0,-72.96516,41.326926
42,M,100.0,"130 Bassett St, New Haven, Connecticut, 06511",StreetAddress,130,130,152,L,,,Bassett,St,,130 Bassett St,New Haven,New Haven,Connecticut,06511,USA,ENG,0,-72.930366,41.331436
40,M,100.0,"100 James St, New Haven, Connecticut, 06513",StreetAddress,100,80,134,L,,,James,St,,100 James St,New Haven,New Haven,Connecticut,06513,USA,ENG,0,-72.902737,41.305046
46,M,100.0,"185 Barnes Ave, New Haven, Connecticut, 06513",StreetAddress,185,299,133,L,,,Barnes,Ave,,185 Barnes Ave,New Haven,New Haven,Connecticut,06513,USA,ENG,0,-72.876526,41.322525
48,M,100.0,"259 Edgewood Ave, New Haven, Connecticut, 06511",StreetAddress,259,239,269,R,,,Edgewood,Ave,,259 Edgewood Ave,New Haven,New Haven,Connecticut,06511,USA,ENG,0,-72.942602,41.312962
44,M,100.0,"311 Valley St, New Haven, Connecticut, 06515",StreetAddress,311,249,315,R,,,Valley,St,,311 Valley St,New Haven,New Haven,Connecticut,06515,USA,ENG,0,-72.969275,41.331784
47,M,100.0,"69 Grand Ave, New Haven, Connecticut, 06513",StreetAddress,69,79,39,L,,,Grand,Ave,,69 Grand Ave,New Haven,New Haven,Connecticut,06513,USA,ENG,0,-72.890367,41.309501
45,M,100.0,"480 Townsend Ave, New Haven, Connecticut, 06512",StreetAddress,480,480,498,L,,,Townsend,Ave,,480 Townsend Ave,New Haven,New Haven,Connecticut,06512,USA,ENG,0,-72.896954,41.269851
50,M,100.0,"55 Foote St, New Haven, Connecticut, 06511",StreetAddress,55,99,35,L,,,Foote,St,,55 Foote St,New Haven,New Haven,Connecticut,06511,USA,ENG,0,-72.932756,41.318067
49,M,100.0,"114 Truman St, New Haven, Connecticut, 06519",StreetAddress,114,142,94,R,,,Truman,St,,114 Truman St,New Haven,New Haven,Connecticut,06519,USA,ENG,0,-72.941315,41.292948
